Day,Visitor type,Site member,Traffic category,Traffic source,Traffic source URL,UTM campaign source,UTM campaign medium,UTM campaign name,UTM campaign content,UTM campaign keywords,UTM Wix campaign,Page path,Page URL,Country,Region,City,Postal code,Device type,Browser,Browser version,Operating system,IP address,Is the first page viewed (Yes / No),Is the last page viewed (Yes / No),Next page viewed,Previous page viewed,Page views,Site sessions,Unique visitors,Bounce rate,Page exit rate,Avg. session duration,Avg. time on page,Avg. pages per session
2024-05-06,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,Yes,No,/services,,32,1,1,0.00%,0.00%,2h 14m 53s,1h 13m 09s,1
2024-06-03,New,No,Referral,schaumburgmarketplace.com,https://schaumburgmarketplace.com/,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,Yes,No,/email-marketing,,27,1,1,0.00%,0.00%,39m 51s,23m 15s,1
2024-05-17,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/services,/services,27,1,1,0.00%,0.00%,52m 22s,2m 50s,1
2024-05-17,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/services,https://schaumburgmarketplace.net/services,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/,/,17,1,1,0.00%,0.00%,52m 22s,1s,1
2024-05-23,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,Yes,,/business-directory,15,3,1,0.00%,100.00%,21m 54s,,1
2024-05-23,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/offers,https://schaumburgmarketplace.net/offers,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/events,/about-us,14,1,1,0.00%,0.00%,31m 04s,8m 53s,1
2024-05-08,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/events,/services,14,1,1,0.00%,0.00%,2h 10m 49s,37m 43s,1
2024-05-21,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/about-us,https://schaumburgmarketplace.net/about-us,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/,/client,13,1,1,0.00%,0.00%,1h 51m 04s,32m 01s,1
2024-05-15,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/,/testimonials,13,2,1,0.00%,0.00%,12m 29s,4m 07s,1
2024-05-10,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/news-1,https://schaumburgmarketplace.net/news-1,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,Yes,No,/,,11,1,1,0.00%,0.00%,57m 18s,32m 10s,1
